ID,Type,Name,Pos,Pos2,Pos_c,cellId_e,cellId_r,color,e0,v0,rx,Hx,lamda,Cx,Noi_mean,Noi_std,eq1,eq2,lfp,PSP,FR,noise,linknoise_r,linkId_r,Hname,Tname,Cname,e0name,v0name,rname,meanname,stdname,sigmname,noisename,noisevarname,noisegainT,pulseName,ppsName
0,-2,EXC,[218.69572843281207 -829.5355216417009],None,None,None,None,#ffaa00,5,6,0.56,5.17,75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,-2,P,[97.09336219215363 -588.2160971641152],None,None,None,None,#ff0000,5,6,0.56,5.17,75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,-3,INH_slow,[-39.591468078353905 -387.430794766749],None,None,None,None,#0000ff,5,6,0.56,4.45,30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,-3,INH_fast,[356.3232127051852 -427.0222628451029],None,None,None,None,#00ffff,5,6,0.56,57.1,75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,-100,N,[-155.53791030781892 -726.7862354383539],None,None,None,None,#a7a7a7,None,None,None,None,None,None,220,30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,-100,N2,[552.3952450932236 -624.9796032368724],None,None,None,None,#6b6b6b,None,None,None,None,None,None,220,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,-200,P_to_EXC,[97.09336219215363 -588.2160971641152],[218.69572843281207 -829.5355216417009],[237.54880847012345 -680.596189346941],1,0,None,None,None,None,None,None,54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,-200,EXC_to_P,[218.69572843281207 -829.5355216417009],[97.09336219215363 -588.2160971641152],[98.0360161940192 -765.4350495148423],0,1,None,None,None,None,None,None,54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,-200,INH_slow_to_P,[-39.591468078353905 -387.430794766749],[97.09336219215363 -588.2160971641152],[85.78151416976681 -420.4236848320439],2,1,None,None,None,None,None,None,54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,-200,P_to_INH_slow,[97.09336219215363 -588.2160971641152],[-39.591468078353905 -387.430794766749],[-63.15781812499314 -530.7142030503155],1,2,None,None,None,None,None,None,67.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,-200,INH_fast_to_P,[356.3232127051852 -427.0222628451029],[97.09336219215363 -588.2160971641152],[292.22274057832647 -567.4777091230727],3,1,None,None,None,None,None,None,54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,-200,INH_fast_to_INH_slow,[356.3232127051852 -427.0222628451029],[-39.591468078353905 -387.430794766749],[173.44833634326474 -304.4772426025789],3,2,None,None,None,None,None,None,27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,-200,P_to_INH_fast,[97.09336219215363 -588.2160971641152],[356.3232127051852 -427.0222628451029],[192.30141638057611 -463.7857689178601],1,3,None,None,None,None,None,None,540,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,-200,INH_fast_to_INH_fast,[356.3232127051852 -427.0222628451029],[356.3232127051852 -427.0222628451029],[456.3232127051852 -327.0222628451029],3,3,None,None,None,None,None,None,27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,-200,N_to_P,[-155.53791030781892 -726.7862354383539],[97.09336219215363 -588.2160971641152],[-29.222274057832635 -657.5011663012345],4,1,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,-200,N2_to_INH_fast,[552.3952450932236 -624.9796032368724],[356.3232127051852 -427.0222628451029],[454.35922889920437 -526.0009330409877],5,3,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
