ID,Type,Name,Pos,Pos2,Pos_c,cellId_e,cellId_r,color,e0,v0,rx,Hx,lamda,Cx,Noi_mean,Noi_std,eq1,eq2,lfp,PSP,FR,noise,linknoise_r,linkId_r,Hname,Tname,Cname,e0name,v0name,rname,meanname,stdname,sigmname,noisename,noisevarname,noisegainT,pulseName,ppsName
0,-2,EXC,[-141.0 -446.0],None,None,None,None,#ffaa00,5,6,0.56,3.25,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,-2,P,[-195.0 -217.0],None,None,None,None,#ff0000,5,6,0.56,3.25,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,-3,INH_fast,[77.0 -65.0],None,None,None,None,#00ffff,5,6,0.56,10,500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,-3,INH_slow,[-315.0 -35.0],None,None,None,None,#0000ff,5,6,0.56,22,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,-100,N,[-454.0 -256.0],None,None,None,None,#aeaeae,None,None,None,None,None,None,220,30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,-200,N_to_P,[-454.0 -256.0],[-195.0 -217.0],[-343.5 -246.0],4,1,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,-200,EXC_to_P,[-141.0 -446.0],[-195.0 -217.0],[-270.0 -357.0],0,1,None,None,None,None,None,None,108,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,-200,P_to_EXC,[-195.0 -217.0],[-141.0 -446.0],[-66.0 -314.0],1,0,None,None,None,None,None,None,135,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,-200,INH_fast_to_INH_slow,[77.0 -65.0],[-315.0 -35.0],[-144.0 57.0],2,3,None,None,None,None,None,None,108,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,-200,INH_slow_to_P,[-315.0 -35.0],[-195.0 -217.0],[-348.0 -144.0],3,1,None,None,None,None,None,None,33.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,-200,P_to_INH_slow,[-195.0 -217.0],[-315.0 -35.0],[-189.0 -97.0],1,3,None,None,None,None,None,None,33.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,-200,INH_fast_to_P,[77.0 -65.0],[-195.0 -217.0],[-18.0 -178.0],2,1,None,None,None,None,None,None,40.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,-200,P_to_INH_fast,[-195.0 -217.0],[77.0 -65.0],[-94.0 -52.0],1,2,None,None,None,None,None,None,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
